Starting Lab 3...
(0.125, 0.0)    (0.125, 0.0)    (0.125, 0.0)    (0.125, 0.0)    (0.125, 0.0)    (0.125, 0.0)    (0.125, 0.0)    (0.125, 0.0)    
(0.125, 0.0)    (0.08838834764831845, 0.08838834764831843)    (7.654042494670958E-18, 0.125)    (-0.08838834764831843, 0.08838834764831845)    (-0.125, 1.5308084989341915E-17)    (-0.08838834764831846, -0.08838834764831843)    (-2.296212748401287E-17, -0.125)    (0.08838834764831842, -0.08838834764831846)    
(0.125, 0.0)    (7.654042494670958E-18, 0.125)    (-0.125, 1.5308084989341915E-17)    (-2.296212748401287E-17, -0.125)    (0.125, -3.061616997868383E-17)    (3.827021247335479E-17, 0.125)    (-0.125, 4.592425496802574E-17)    (-5.35782974626967E-17, -0.125)    
(0.125, 0.0)    (-0.08838834764831843, 0.08838834764831845)    (-2.296212748401287E-17, -0.125)    (0.08838834764831846, 0.08838834764831842)    (-0.125, 4.592425496802574E-17)    (0.08838834764831832, -0.08838834764831856)    (6.888638245203862E-17, 0.125)    (-0.08838834764831842, -0.08838834764831846)    
(0.125, 0.0)    (-0.125, 1.5308084989341915E-17)    (0.125, -3.061616997868383E-17)    (-0.125, 4.592425496802574E-17)    (0.125, -6.123233995736766E-17)    (-0.125, 7.654042494670958E-17)    (0.125, -9.184850993605148E-17)    (-0.125, 1.071565949253934E-16)    
(0.125, 0.0)    (-0.08838834764831846, -0.08838834764831843)    (3.827021247335479E-17, 0.125)    (0.08838834764831832, -0.08838834764831856)    (-0.125, 7.654042494670958E-17)    (0.08838834764831843, 0.08838834764831846)    (-3.3685524234509566E-16, -0.125)    (-0.08838834764831827, 0.08838834764831861)    
(0.125, 0.0)    (-2.296212748401287E-17, -0.125)    (-0.125, 4.592425496802574E-17)    (6.888638245203862E-17, 0.125)    (0.125, -9.184850993605148E-17)    (-3.3685524234509566E-16, -0.125)    (-0.125, 1.3777276490407724E-16)    (-6.13097125369412E-17, 0.125)    
(0.125, 0.0)    (0.08838834764831842, -0.08838834764831846)    (-5.35782974626967E-17, -0.125)    (-0.08838834764831842, -0.08838834764831846)    (-0.125, 1.071565949253934E-16)    (-0.08838834764831827, 0.08838834764831861)    (-6.13097125369412E-17, 0.125)    (0.08838834764831881, 0.08838834764831807)    
